GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab07,hello.geojson,FeatureCollection,38,0,0,0,12,0,3,0,3,0
lab07,hello.geojson,Properties,3,0,0,0,1,0,1,0,1,0
lab07,hello.geojson,Metadata,3,0,0,0,1,0,1,0,1,0
lab07,hello.geojson,Feature,3,0,0,0,1,0,1,0,1,0
lab07,hello,EqSearch,8,15,0,0,4,6,2,3,2,3
lab07,hello,GithubOrgMembershipService,171,29,9,1,35,9,5,4,0,4
lab07,hello,AuthControllerAdvice,16,30,3,3,2,7,3,7,0,7
lab07,hello,Application,5,53,0,0,2,17,1,2,1,2
lab07,hello,EarthquakeQueryService,106,0,0,0,24,0,2,0,2,0
lab07,hello,MembershipService,26,4,9,1,6,2,6,1,1,1
lab07,hello,WebController,63,7,0,0,15,3,5,3,5,3
